day,average_waiting_time
1,396.5318744409635
2,246.05148716456986
3,235.68026834234155
4,228.85434668408274
5,226.08877381422872
6,230.35306927438575
7,233.25699185710533
8,246.41358687741243
9,229.265944341545
10,225.65276195086662
11,224.40468798627612
12,255.17599322195403
13,239.22308233638282
14,247.49345781069232
15,268.5346481777792
16,251.55102299494047
17,240.5772885527869
18,231.90770494488552
19,272.02203820618143
20,243.43761253646377
21,266.6804386133228
22,277.49287089443135
23,247.32448989998323
24,234.81737623786302
25,261.2912811176952
26,242.56764282565965
27,236.93431696586904
28,254.6833639623887
29,254.2460334757214
30,227.33985420001852
31,248.65506923045416
